areaDesc_EN,severity_level,instruction
Japan,第二級:警示(Alert),對當地採取加強防護
Singapore,第二級:警示(Alert),對當地採取加強防護
France,第二級:警示(Alert),對當地採取加強防護
Germany,第二級:警示(Alert),對當地採取加強防護
Spain,第二級:警示(Alert),對當地採取加強防護
Austria,第二級:警示(Alert),對當地採取加強防護
Bahrain,第二級:警示(Alert),對當地採取加強防護
Belgium,第二級:警示(Alert),對當地採取加強防護
Denmark,第二級:警示(Alert),對當地採取加強防護
Iceland,第二級:警示(Alert),對當地採取加強防護
Kuwait,第二級:警示(Alert),對當地採取加強防護
Netherlands,第二級:警示(Alert),對當地採取加強防護
Norway,第二級:警示(Alert),對當地採取加強防護
Sweden,第二級:警示(Alert),對當地採取加強防護
Switzerland,第二級:警示(Alert),對當地採取加強防護
Thailand,第一級:注意(Watch),提醒遵守當地的一般預防措施
Czech,第一級:注意(Watch),提醒遵守當地的一般預防措施
Estonia,第一級:注意(Watch),提醒遵守當地的一般預防措施
Finland,第一級:注意(Watch),提醒遵守當地的一般預防措施
Greece,第一級:注意(Watch),提醒遵守當地的一般預防措施
Hungary,第一級:注意(Watch),提醒遵守當地的一般預防措施
Latvia,第一級:注意(Watch),提醒遵守當地的一般預防措施
Liechtenstein,第一級:注意(Watch),提醒遵守當地的一般預防措施
Lithuania,第一級:注意(Watch),提醒遵守當地的一般預防措施
Luxembourg,第一級:注意(Watch),提醒遵守當地的一般預防措施
Malta,第一級:注意(Watch),提醒遵守當地的一般預防措施
Poland,第一級:注意(Watch),提醒遵守當地的一般預防措施
Portugal,第一級:注意(Watch),提醒遵守當地的一般預防措施
Republic of Ireland,第一級:注意(Watch),提醒遵守當地的一般預防措施
Slovakia,第一級:注意(Watch),提醒遵守當地的一般預防措施
Slovenia,第一級:注意(Watch),提醒遵守當地的一般預防措施
United Kingdom of Great Britain and Northern Ireland,第一級:注意(Watch),提醒遵守當地的一般預防措施
Mainland China,第三級:警告(Warning),避免至當地所有非必要旅遊
Hong Kong,第三級:警告(Warning),避免至當地所有非必要旅遊
Iran,第三級:警告(Warning),避免至當地所有非必要旅遊
Italy,第三級:警告(Warning),避免至當地所有非必要旅遊
South Korea,第三級:警告(Warning),避免至當地所有非必要旅遊
Macau,第三級:警告(Warning),避免至當地所有非必要旅遊
